
2026/05/24 (03:07:20) | ===> btop++ v.1.3.2
2026/05/24 (03:07:20) | WARNING: Failed to join _runner thread on exit!

2026/05/27 (18:24:58) | ===> btop++ v.1.3.2
2026/05/27 (18:24:58) | WARNING: Failed to join _runner thread on exit!

2026/05/27 (21:12:58) | ===> btop++ v.1.3.2
2026/05/27 (21:12:58) | WARNING: Failed to join _runner thread on exit!

2026/05/27 (21:45:00) | ===> btop++ v.1.3.2
2026/05/27 (21:45:00) | WARNING: Failed to join _runner thread on exit!

2026/05/27 (22:20:39) | ===> btop++ v.1.3.2
2026/05/27 (22:20:39) | WARNING: Failed to join _runner thread on exit!

2026/05/27 (22:56:16) | ===> btop++ v.1.3.2
2026/05/27 (22:56:16) | WARNING: Failed to join _runner thread on exit!

2026/05/28 (10:37:10) | ===> btop++ v.1.3.2
2026/05/28 (10:37:10) | WARNING: Failed to join _runner thread on exit!
